S	V	G	A	gardon

Nord	-0.49	0.31	-1.26	0
Nord	-0.56	0.79	-1.65	0
Nord	-0.59	-0.17	-0.22	1
Nord	-1.3	-1.26	-1.17	0
Nord	0.3	0.36	0.15	1
Nord	-0.65	0.77	0.06	1
Nord	-0.03	-1.38	0.18	0
Nord	-1.12	1.76	0.17	1
Nord	-0.22	-1.21	0.4	0
Nord	-0.52	0.94	0.17	1
Nord	-0.7	-0.05	0.22	1
Nord	0.97	-1.15	0.58	0
Nord	1.57	-1.27	1.12	0
Nord	0.19	0.22	0.54	0
Nord	-1.18	2.95	-0.17	1
Nord	0.28	-0.32	0.15	0
Nord	0.68	0.54	0.24	0
Nord	0.78	-1.23	0.95	0
Nord	0.03	-0.12	0.62	0
Nord	0.67	-1.01	1.07	0
Nord	0.62	-1.25	0.68	0
Nord	1.7	-0.7	1.07	0
Nord	-0.19	0.82	0.26	1
Nord	-0.72	-0.6	0.36	1
Nord	0.71	0.54	0.24	0
Nord	0.51	0.68	0.38	1
Nord	-1.16	1.1	0.19	1
Nord	0.97	-0.02	0.48	0
Nord	0.54	-0.66	0.72	0
Nord	0.89	0.08	0.46	0
Nord	-1.18	-0.67	-0.09	1
Nord	-1.36	2.8	-0.01	1
Nord	-0.44	-0.01	0.25	0
Nord	-1.14	-1.07	0.14	0
Nord	-0.99	0.05	-0.2	1
Nord	-0.17	0.09	0.17	0
Nord	0.15	-0.7	0.51	0
Nord	-1.56	1.81	0.11	1
Nord	-0.92	2.11	-0.13	1
Nord	-1.2	0.42	-0.69	1
Nord	0.55	-0.6	-0.12	0
Nord	0.04	2.2	-0.19	1
Sein	-0.88	2.28	-0.96	1
Sein	-0.09	2.64	-1.26	1
Sein	-0.43	0.44	-0.79	1
Sein	-0.31	0.64	-1.1	1
Sein	-1.31	-0.99	-0.47	1
Sein	-0.14	-0.83	-0.85	1
Sein	-0.81	-0.51	-1.03	1
Sein	-0.48	0.02	-1.12	1
Sein	-1.36	1.74	-1.03	1
Sein	-1.58	0.62	-0.85	1
Sein	-0.53	0.26	-0.74	0
Sein	-0.53	0.02	-0.66	1
Sein	-0.68	0.26	-0.87	1
Sein	-0.33	0.22	-1.18	1
Sein	-1.6	1.02	-1.03	1
Sein	-1.9	1.46	-1.1	1
Sein	-0.1	-0.09	-0.74	0
Sein	0.24	0.2	-0.88	0
Sein	1.17	-0.99	-0.88	0
Sein	-1.42	-2.19	-0.6	1
Sein	-0.8	-0.33	-0.9	0
Sein	-1.76	-0.22	-0.65	1
Sein	-1.78	0.07	-0.96	1
Sein	0.43	-1.46	-1.03	1
Sein	-0.4	2.41	-0.96	1
Sein	-0.23	2.48	-1.03	1
Sein	-0.55	2.56	-1.17	1
Sein	-0.36	2.57	-1.32	1
